date,workout,energy burned (cal)
2024-02-01T06:43:00+1000,Walking,102.0
2024-01-31T07:26:37+1000,Functional Strength Training,171.0
2024-01-30T07:17:56+1000,Functional Strength Training,232.0
2024-01-29T07:24:19+1000,Functional Strength Training,178.0
2024-01-29T06:38:00+1000,Walking,102.0
2024-01-28T10:05:10+1000,Functional Strength Training,158.0
2024-01-27T08:59:00+1000,Walking,105.0
2024-01-27T07:48:00+1000,Walking,43.0
2024-01-26T08:34:55+1000,Functional Strength Training,251.0
2024-01-25T07:21:51+1000,Functional Strength Training,203.0
2024-01-25T06:41:00+1000,Walking,99.0
